,date,open,high,low,close,volume
1880,2023-10-06 11:45:00,173.05,173.28,172.82,173.27,706381
1881,2023-10-06 11:50:00,173.27,173.49,173.14,173.39,582843
1882,2023-10-06 11:55:00,173.39,173.77,173.34,173.75,667527
1883,2023-10-06 12:00:00,173.75,173.89,173.47,173.6,1184718
1884,2023-10-06 12:05:00,173.6,173.88,173.55,173.67,990994
1885,2023-10-06 12:10:00,173.66,173.7,173.42,173.49,853235
1886,2023-10-06 12:15:00,173.5,173.65,173.45,173.57,362177
1887,2023-10-06 12:20:00,173.57,173.6,173.07,173.14,434833
1888,2023-10-06 12:25:00,173.13,173.31,173.0,173.15,308335
1889,2023-10-06 12:30:00,173.14,173.18,172.89,172.9,267164
1890,2023-10-06 12:35:00,172.9,173.06,172.81,172.81,415966
1891,2023-10-06 12:40:00,172.82,173.19,172.79,173.19,596270
1892,2023-10-06 12:45:00,173.19,173.29,173.12,173.16,258282
1893,2023-10-06 12:50:00,173.19,173.22,172.91,172.94,322946
1894,2023-10-06 12:55:00,172.95,173.01,172.86,172.95,203095
1895,2023-10-06 13:00:00,172.95,173.07,172.91,172.93,152590
1896,2023-10-06 13:05:00,172.93,173.05,172.87,172.97,183548
1897,2023-10-06 13:10:00,172.98,173.21,172.8,173.21,482164
1898,2023-10-06 13:15:00,173.21,173.24,173.12,173.24,189058
1899,2023-10-06 13:20:00,173.24,173.46,173.21,173.4,496650
1900,2023-10-06 13:25:00,173.39,173.45,173.27,173.34,240405
1901,2023-10-06 13:30:00,173.34,173.49,173.33,173.47,139961
1902,2023-10-06 13:35:00,173.48,173.48,173.21,173.38,188006
1903,2023-10-06 13:40:00,173.38,173.46,173.2,173.24,206439
1904,2023-10-06 13:45:00,173.23,173.42,173.13,173.35,172253
1905,2023-10-06 13:50:00,173.36,173.4,173.24,173.34,104475
1906,2023-10-06 13:55:00,173.31,173.48,173.31,173.45,120320
1907,2023-10-06 14:00:00,173.45,173.47,173.25,173.38,276585
1908,2023-10-06 14:05:00,173.37,173.47,173.23,173.44,275744
1909,2023-10-06 14:10:00,173.45,173.6,173.41,173.46,239624
1910,2023-10-06 14:15:00,173.48,173.51,173.36,173.38,138844
1911,2023-10-06 14:20:00,173.38,173.53,173.37,173.51,87540
1912,2023-10-06 14:25:00,173.51,173.74,173.48,173.7,297607
1913,2023-10-06 14:30:00,173.71,173.71,173.6,173.67,257717
1914,2023-10-06 14:35:00,173.69,173.81,173.59,173.78,365838
1915,2023-10-06 14:40:00,173.78,173.84,173.7,173.8,164835
1916,2023-10-06 14:45:00,173.81,173.88,173.74,173.76,382963
1917,2023-10-06 14:50:00,173.65,173.77,173.55,173.55,394431
1918,2023-10-06 14:55:00,173.54,173.58,173.48,173.57,230653
1919,2023-10-06 15:00:00,173.57,173.57,173.32,173.32,241403
1920,2023-10-06 15:05:00,173.32,173.48,173.26,173.43,317624
1921,2023-10-06 15:10:00,173.41,173.41,173.13,173.21,338850
1922,2023-10-06 15:15:00,173.21,173.25,173.12,173.21,261053
1923,2023-10-06 15:20:00,173.2,173.45,173.16,173.42,331731
1924,2023-10-06 15:25:00,173.41,173.43,173.31,173.39,728832
1925,2023-10-06 15:30:00,173.39,173.49,173.15,173.24,927179
1926,2023-10-06 15:35:00,173.23,173.43,173.21,173.42,219016
1927,2023-10-06 15:40:00,173.42,173.45,173.26,173.29,527685
1928,2023-10-06 15:45:00,173.29,173.39,173.24,173.32,936501
1929,2023-10-06 15:50:00,173.31,173.31,172.86,172.87,888599
1930,2023-10-06 15:55:00,172.87,173.0,172.85,172.98,1616140
1931,2023-10-09 09:30:00,171.84,172.2,171.77,172.17,1414127
1932,2023-10-09 09:35:00,172.17,172.35,171.91,172.33,845127
1933,2023-10-09 09:40:00,172.32,172.76,172.17,172.76,606272
1934,2023-10-09 09:45:00,172.77,172.86,172.34,172.37,531778
1935,2023-10-09 09:50:00,172.37,172.4,171.93,172.1,513874
1936,2023-10-09 09:55:00,172.11,172.32,171.96,172.24,254148
1937,2023-10-09 10:00:00,172.29,172.36,171.95,171.98,361661
1938,2023-10-09 10:05:00,171.98,172.1,171.81,172.09,234756
1939,2023-10-09 10:10:00,172.09,172.29,172.03,172.27,259909
1940,2023-10-09 10:15:00,172.27,172.51,172.21,172.49,317644
1941,2023-10-09 10:20:00,172.49,172.69,172.38,172.61,225958
1942,2023-10-09 10:25:00,172.62,172.64,172.39,172.48,176510
1943,2023-10-09 10:30:00,172.46,172.61,172.39,172.44,218223
1944,2023-10-09 10:35:00,172.43,172.58,172.43,172.45,161482
1945,2023-10-09 10:40:00,172.45,172.59,172.35,172.55,256006
1946,2023-10-09 10:45:00,172.55,172.59,172.09,172.09,316964
1947,2023-10-09 10:50:00,172.14,172.34,172.1,172.27,286281
1948,2023-10-09 10:55:00,172.28,172.41,172.24,172.39,368329
1949,2023-10-09 11:00:00,172.39,172.53,172.35,172.48,236167
1950,2023-10-09 11:05:00,172.7,172.73,172.64,172.67,253515
1951,2023-10-09 11:10:00,172.68,172.77,172.59,172.75,110615
1952,2023-10-09 11:15:00,172.74,172.9,172.74,172.88,207887
1953,2023-10-09 11:20:00,172.88,172.97,172.82,172.95,142721
1954,2023-10-09 11:25:00,172.95,173.29,172.94,173.25,239733
1955,2023-10-09 11:30:00,173.24,173.32,173.18,173.2,238174
1956,2023-10-09 11:35:00,173.19,173.21,173.01,173.04,201164
1957,2023-10-09 11:40:00,173.04,173.04,172.89,172.94,308977
1958,2023-10-09 11:45:00,172.94,172.95,172.75,172.88,261697
1959,2023-10-09 11:50:00,172.87,172.96,172.84,172.88,99109
1960,2023-10-09 11:55:00,172.87,173.05,172.85,173.02,99065
1961,2023-10-09 12:00:00,173.03,173.05,172.91,172.96,318378
1962,2023-10-09 12:05:00,172.96,173.35,172.96,173.27,210114
1963,2023-10-09 12:10:00,173.26,173.28,173.1,173.13,388832
1964,2023-10-09 12:15:00,173.13,173.28,173.12,173.27,125902
1965,2023-10-09 12:20:00,173.27,173.4,173.2,173.23,310742
1966,2023-10-09 12:25:00,173.24,173.24,173.01,173.04,190512
1967,2023-10-09 12:30:00,173.04,173.13,173.01,173.09,253572
1968,2023-10-09 12:35:00,173.04,173.1,172.93,172.98,131454
1969,2023-10-09 12:40:00,172.98,172.99,172.82,172.85,550861
1970,2023-10-09 12:45:00,172.85,172.98,172.77,172.92,290481
1971,2023-10-09 12:50:00,172.93,172.98,172.86,172.91,170007
1972,2023-10-09 12:55:00,172.9,172.94,172.72,172.87,124210
1973,2023-10-09 13:00:00,172.88,172.91,172.79,172.85,409737
1974,2023-10-09 13:05:00,172.85,172.98,172.82,172.96,126725
1975,2023-10-09 13:10:00,172.96,173.08,172.91,173.01,110081
1976,2023-10-09 13:15:00,173.01,173.15,173.01,173.13,92026
1977,2023-10-09 13:20:00,173.13,173.14,173.05,173.12,241228
1978,2023-10-09 13:25:00,173.13,173.28,173.12,173.27,217433
1979,2023-10-09 13:30:00,173.28,173.51,173.28,173.5,259028
1980,2023-10-09 13:35:00,173.5,173.69,173.41,173.68,516568
1981,2023-10-09 13:40:00,173.68,174.09,173.67,174.04,419458
1982,2023-10-09 13:45:00,174.04,174.21,174.03,174.12,353077
1983,2023-10-09 13:50:00,174.12,174.28,174.1,174.27,433251
1984,2023-10-09 13:55:00,174.28,174.32,174.2,174.31,460713
1985,2023-10-09 14:00:00,174.32,174.34,174.11,174.25,144916
1986,2023-10-09 14:05:00,174.24,174.37,174.21,174.31,243395
